iter	Passed	Remaining
0	6	2018
1	11	1775
2	19	1953
3	26	1985
4	33	1973
5	39	1950
6	46	1929
7	52	1912
8	58	1898
9	66	1927
10	73	1921
11	79	1916
12	86	1903
13	92	1884
14	98	1880
15	104	1859
16	110	1837
17	115	1815
18	121	1796
19	127	1779
20	132	1760
21	138	1747
22	144	1746
23	150	1732
24	156	1722
25	162	1709
26	167	1693
27	173	1688
28	179	1674
29	185	1669
30	195	1695
31	203	1704
32	210	1701
33	215	1688
34	221	1674
35	226	1660
36	232	1651
37	238	1642
38	244	1636
39	250	1627
40	255	1615
41	261	1604
42	267	1598
43	272	1587
44	278	1579
45	284	1569
46	289	1559
47	296	1557
48	302	1548
49	307	1539
50	313	1530
51	319	1522
52	324	1514
53	330	1504
54	335	1495
55	341	1487
56	346	1479
57	352	1472
58	358	1465
59	364	1457
60	370	1451
61	376	1444
62	381	1436
63	387	1429
64	393	1423
65	399	1417
66	405	1409
67	410	1401
68	416	1394
69	422	1386
70	427	1379
71	433	1372
72	439	1365
73	445	1359
74	452	1356
75	459	1354
76	466	1350
77	472	1344
78	478	1338
79	483	1330
80	489	1324
81	495	1317
82	501	1310
83	507	1304
84	513	1298
85	519	1291
86	525	1285
87	531	1279
88	537	1273
89	543	1267
90	548	1260
91	554	1254
92	560	1248
93	566	1242
94	572	1235
95	578	1229
96	584	1222
97	590	1216
98	595	1209
99	601	1203
100	607	1196
101	613	1190
102	619	1183
103	624	1176
104	630	1170
105	636	1164
106	641	1157
107	648	1152
108	653	1145
109	659	1138
110	665	1132
111	671	1126
112	677	1120
113	682	1113
114	688	1106
115	693	1100
116	699	1093
117	705	1087
118	711	1081
119	716	1074
120	722	1069
121	729	1063
122	734	1056
123	739	1050
124	745	1044
125	751	1037
126	757	1031
127	766	1029
128	773	1025
129	779	1019
130	785	1012
131	791	1006
132	796	1000
133	802	994
134	808	987
135	813	981
136	819	975
137	825	969
138	831	962
139	837	956
140	842	950
141	847	943
142	853	937
143	859	931
144	865	924
145	870	918
146	876	912
147	882	906
148	889	901
149	895	895
150	901	889
151	906	882
152	912	877
153	918	870
154	924	864
155	929	858
156	935	851
157	941	845
158	946	839
159	959	839
160	971	838
161	983	837
162	991	833
163	997	827
164	1003	821
165	1009	815
166	1015	808
167	1021	802
168	1027	796
169	1035	791
170	1040	785
171	1046	778
172	1051	772
173	1057	765
174	1064	760
175	1069	753
176	1077	748
177	1087	745
178	1094	739
179	1100	733
180	1106	727
181	1112	721
182	1118	715
183	1124	708
184	1130	702
185	1136	696
186	1142	690
187	1148	684
188	1156	679
189	1164	674
190	1170	668
191	1176	662
192	1182	655
193	1189	649
194	1194	643
195	1200	637
196	1206	630
197	1212	624
198	1218	618
199	1224	612
200	1231	606
201	1237	600
202	1242	593
203	1248	587
204	1254	581
205	1262	575
206	1268	569
207	1273	563
208	1280	557
209	1286	551
210	1292	545
211	1298	539
212	1304	532
213	1310	526
214	1315	520
215	1321	513
216	1326	507
217	1331	500
218	1337	494
219	1343	488
220	1348	482
221	1354	476
222	1360	469
223	1365	463
224	1371	457
225	1377	450
226	1382	444
227	1388	438
228	1393	432
229	1399	425
230	1406	420
231	1413	414
232	1421	408
233	1428	403
234	1436	397
235	1443	391
236	1450	385
237	1456	379
238	1462	373
239	1468	367
240	1473	360
241	1480	354
242	1485	348
243	1491	342
244	1496	336
245	1502	329
246	1508	323
247	1513	317
248	1519	311
249	1525	305
250	1531	298
251	1536	292
252	1542	286
253	1548	280
254	1554	274
255	1560	268
256	1565	261
257	1570	255
258	1576	249
259	1582	243
260	1587	237
261	1593	231
262	1598	224
263	1604	218
264	1609	212
265	1615	206
266	1621	200
267	1627	194
268	1633	188
269	1638	182
270	1643	175
271	1649	169
272	1654	163
273	1660	157
274	1666	151
275	1671	145
276	1677	139
277	1683	133
278	1689	127
279	1695	121
280	1701	115
281	1706	108
282	1714	102
283	1721	96
284	1727	90
285	1733	84
286	1739	78
287	1745	72
288	1751	66
289	1756	60
290	1762	54
291	1768	48
292	1774	42
293	1780	36
294	1785	30
295	1791	24
296	1796	18
297	1802	12
298	1807	6
299	1813	0
