iter	Logloss
0	0.6828300034
1	0.6759286087
2	0.6657434976
3	0.653019835
4	0.6438659448
5	0.6388230162
6	0.6291828725
7	0.6226533329
8	0.6148379124
9	0.6079620122
10	0.5997587458
11	0.5925549608
12	0.5853588606
13	0.5775697862
14	0.5704409261
15	0.5658893726
16	0.5630101206
17	0.5584039754
18	0.5514471472
19	0.5457821094
20	0.5413543445
21	0.5361089934
22	0.5319857084
23	0.5272726953
24	0.5228285902
25	0.5194266023
26	0.5161528242
27	0.5121051444
28	0.5088360667
29	0.5055131354
30	0.5019001728
31	0.4988853826
32	0.4950382397
33	0.4923081014
34	0.4890030766
35	0.4864256764
36	0.4828238616
37	0.4794110728
38	0.4764353815
39	0.4738943229
40	0.470186235
41	0.4684695445
42	0.4652166222
43	0.4618391188
44	0.4591174439
45	0.4565218465
46	0.4535386815
47	0.4513689474
48	0.4498571127
49	0.4470965797
50	0.4444756774
51	0.4428168036
52	0.4413907402
53	0.4399875422
54	0.4387440641
55	0.4372661185
56	0.4369544412
57	0.4352880229
58	0.4334702625
59	0.4312826758
60	0.4297621964
61	0.4278042738
62	0.4264526077
63	0.4251664091
64	0.4235412314
65	0.4214354525
66	0.4198149633
67	0.4184832018
68	0.4163641841
69	0.414495808
70	0.4128808824
71	0.4112364972
72	0.4088894172
73	0.4066148733
74	0.4056965774
75	0.4048597886
76	0.4039398768
77	0.4028786589
78	0.4019154617
79	0.3999843877
80	0.39856215
81	0.397120838
82	0.3959644395
83	0.3952320926
84	0.3932074758
85	0.3909031836
86	0.389597332
87	0.3879292748
88	0.3862434112
89	0.3849775629
90	0.3836630077
91	0.3826214652
92	0.3813600613
93	0.3805336451
94	0.3798721328
95	0.3785625414
96	0.3778567596
97	0.3771178273
98	0.3767099958
99	0.3752696455
100	0.3745990539
101	0.3736445794
102	0.3725297139
103	0.3713246157
104	0.3701657166
105	0.3688752169
106	0.3678223014
107	0.3664337159
108	0.365244777
109	0.364236885
110	0.3635326945
111	0.3631751413
112	0.3618115355
113	0.3608262142
114	0.3598723842
115	0.3582835317
116	0.3575587118
117	0.3560149759
118	0.3549535896
119	0.3541854791
120	0.3534636889
121	0.352470143
122	0.3521991805
123	0.3518047271
124	0.3511729717
125	0.3498515394
126	0.3492054141
127	0.3487059767
128	0.3477100349
129	0.3467635775
130	0.3452905377
131	0.3444898096
132	0.3437796267
133	0.3436897679
134	0.3424160663
135	0.3414457486
136	0.3399850393
137	0.3397384021
138	0.3393313766
139	0.3384547563
140	0.3371856434
141	0.3363699273
142	0.3357678983
143	0.3352021738
144	0.334431348
145	0.333891179
146	0.3323751437
147	0.3313365389
148	0.3307889266
149	0.3297665995
150	0.3291197359
151	0.3279178026
152	0.3268525746
153	0.3262271804
154	0.3253178175
155	0.3245554067
156	0.3242157011
157	0.3235242989
158	0.3228898522
159	0.3218164068
160	0.3209624925
161	0.3199296405
162	0.31951043
163	0.3190441391
164	0.3189443717
165	0.3183713739
166	0.3177817291
167	0.3173549354
168	0.3164192751
169	0.315230305
170	0.3146065994
171	0.3140709151
172	0.3134530163
173	0.3126578692
174	0.3119038307
175	0.3117706586
176	0.3112717715
177	0.3104649651
178	0.3096814142
179	0.3091104265
180	0.308767962
181	0.3081119103
182	0.3076423976
183	0.3064345861
184	0.3055966967
185	0.3043800079
186	0.3036348868
187	0.3031163181
188	0.3028576859
189	0.3016346816
190	0.3011463876
191	0.3003759601
192	0.2996210196
193	0.2985149324
194	0.2973782313
195	0.2973647108
196	0.2967568954
197	0.2956524158
198	0.2942901711
199	0.2935879723
200	0.2930064184
201	0.2923169452
202	0.2914105725
203	0.2906145039
204	0.2903314857
205	0.2894322602
206	0.2891475535
207	0.2890745383
208	0.2886606248
209	0.2879332973
210	0.2872203213
211	0.2864060248
212	0.2857570838
213	0.2857014159
214	0.2852354875
215	0.2849731355
216	0.2845093231
217	0.2841865343
218	0.2837627897
219	0.2832398832
220	0.2826232404
221	0.2817183324
222	0.2813343178
223	0.2813296931
224	0.2807763871
225	0.2804033236
226	0.2803206858
227	0.2789418325
228	0.2786105551
229	0.2783055392
230	0.2771360715
231	0.2760162774
232	0.2756772226
233	0.2748651754
234	0.2741720383
235	0.2733725652
236	0.2726433778
237	0.2718863489
238	0.2706630305
239	0.2695275812
240	0.2691998289
241	0.2685757213
242	0.2682130517
243	0.2678895675
244	0.2670025896
245	0.2666101204
246	0.2659960029
247	0.26474959
248	0.2647166173
249	0.2640185162
250	0.2637209828
251	0.2631577695
252	0.2622902568
253	0.2621018682
254	0.2617238557
255	0.2613232508
256	0.260882814
257	0.2603967764
258	0.2600567973
259	0.2599165675
260	0.2588636663
261	0.2583852259
262	0.2579068276
263	0.2568857442
264	0.2566676522
265	0.2558625489
266	0.2558258628
267	0.2550849178
268	0.2542753913
269	0.2535249121
270	0.2533681931
271	0.252821266
272	0.2523141304
273	0.2514417371
274	0.2510047817
275	0.2505762745
276	0.2498650079
277	0.2493583775
278	0.2488354981
279	0.2485160885
280	0.2474619657
281	0.2466190377
282	0.2465814406
283	0.2462229196
284	0.245559702
285	0.2452668142
286	0.2448254975
287	0.2437242515
288	0.2436202291
289	0.2426932338
290	0.2426189214
291	0.2423303724
292	0.2413266997
293	0.2409157703
294	0.2408364374
295	0.2403455849
296	0.2402200935
297	0.239568402
298	0.2392114166
299	0.2382890964
300	0.2381544154
301	0.2376561463
302	0.2375981084
303	0.2374386716
304	0.2370978516
305	0.2365185835
306	0.2363934527
307	0.2356939786
308	0.235235356
309	0.2350941393
310	0.2350541336
311	0.234506352
312	0.2343648762
313	0.2339135616
314	0.23373769
315	0.2334272793
316	0.2329766032
317	0.2324620417
318	0.2316955028
319	0.2311847379
320	0.2310911974
321	0.230875583
322	0.2307252023
323	0.2301730992
324	0.2296495832
325	0.2296170439
326	0.229230228
327	0.2284053261
328	0.2280692466
329	0.2277683837
330	0.2273715035
331	0.2269713961
332	0.2265884151
333	0.2254920975
334	0.2247253079
335	0.2242724802
336	0.2229467213
337	0.2229224919
338	0.2223939803
339	0.2218764165
340	0.221729891
341	0.2212370169
342	0.2208922019
343	0.220611986
344	0.2205765859
345	0.2202926029
346	0.2202312268
347	0.2196642936
348	0.2195523627
349	0.2193103
350	0.2190200188
351	0.2184332122
352	0.2180624774
353	0.2180270457
354	0.2177141019
355	0.2175994999
356	0.2164721965
357	0.2158270848
358	0.2153682694
359	0.2152862282
360	0.2152411861
361	0.2150031371
362	0.2146356225
363	0.2137241574
364	0.2133161241
365	0.2129066559
366	0.2126956468
367	0.2122625952
368	0.2118910549
369	0.2116418297
370	0.2107530595
371	0.2105980101
372	0.2101968618
373	0.2101466562
374	0.2097603763
375	0.2094809754
376	0.2091401496
377	0.2087023138
378	0.2077105714
379	0.2073402845
380	0.2070764667
381	0.2070540174
382	0.2065304385
383	0.2057642478
384	0.2052071532
385	0.2050119036
386	0.2049843345
387	0.2049521555
388	0.2043495876
389	0.2035426672
390	0.203373573
391	0.203354236
392	0.2031425161
393	0.2026193243
394	0.2021565906
395	0.2019481039
396	0.2014341487
397	0.2010697102
398	0.2004860423
399	0.2004207757
400	0.2001210699
401	0.2000975006
402	0.200078375
403	0.1997519587
404	0.1993348285
405	0.1991010942
406	0.1989952948
407	0.1989361007
408	0.1975270442
409	0.1973286978
410	0.1966036996
411	0.1964728131
412	0.1960443093
413	0.1953281089
414	0.1951272597
415	0.1947155035
416	0.1941889721
417	0.1939313329
418	0.1936326717
419	0.1935032433
420	0.1930553225
421	0.1926634643
422	0.1922796129
423	0.1918953575
424	0.1913008913
425	0.1912148646
426	0.1909749469
427	0.1909496759
428	0.1906941039
429	0.1903131656
430	0.1898762309
431	0.1896453636
432	0.1895722263
433	0.1888205529
434	0.188531223
435	0.1880373848
436	0.1879546082
437	0.1875802692
438	0.1873155026
439	0.1870969978
440	0.1864753391
441	0.1861218616
442	0.185616965
443	0.1852625154
444	0.1850568971
445	0.1845761
446	0.1842428603
447	0.1838594273
448	0.18365527
449	0.1831917836
450	0.1822961232
451	0.1815228652
452	0.1813346054
453	0.18095361
454	0.180576134
455	0.1802864327
456	0.1801182794
457	0.1799488019
458	0.1795915446
459	0.1793238657
460	0.1790602331
461	0.1787361244
462	0.1784630215
463	0.1780780625
464	0.1776477316
465	0.1770661945
