iter	Passed	Remaining
0	21	17408
1	31	12523
2	52	13870
3	75	14964
4	97	15458
5	118	15686
6	142	16131
7	163	16170
8	184	16220
9	206	16325
10	227	16314
11	248	16323
12	269	16291
13	290	16299
14	311	16296
15	329	16144
16	343	15809
17	359	15634
18	380	15646
19	401	15652
20	422	15661
21	443	15669
22	464	15701
23	487	15776
24	510	15828
25	534	15897
26	559	16014
27	585	16141
28	609	16193
29	632	16230
30	654	16239
31	678	16284
32	701	16313
33	725	16344
34	747	16345
35	771	16366
36	794	16383
37	817	16389
38	841	16415
39	864	16431
40	888	16450
41	911	16445
42	934	16452
43	957	16456
44	983	16493
45	1006	16501
46	1036	16606
47	1063	16658
48	1089	16693
49	1120	16808
50	1144	16815
51	1170	16843
52	1196	16865
53	1219	16848
54	1241	16823
55	1264	16798
56	1278	16668
57	1307	16728
58	1337	16801
59	1368	16879
60	1400	16961
61	1434	17075
62	1469	17186
63	1503	17287
64	1539	17406
65	1572	17493
66	1611	17624
67	1646	17729
68	1683	17831
69	1720	17940
70	1753	18007
71	1784	18045
72	1815	18084
73	1845	18104
74	1876	18139
75	1901	18118
76	1926	18085
77	1950	18051
78	1974	18018
79	1997	17979
80	2024	17973
81	2054	17985
82	2077	17945
83	2101	17914
84	2125	17880
85	2150	17855
86	2174	17822
87	2198	17790
88	2221	17749
89	2247	17729
90	2271	17694
91	2294	17656
92	2316	17610
93	2339	17570
94	2361	17527
95	2386	17501
96	2410	17468
97	2433	17432
98	2454	17382
99	2479	17355
100	2502	17318
101	2526	17287
102	2550	17259
103	2574	17227
104	2597	17194
105	2622	17168
106	2645	17136
107	2669	17106
108	2693	17077
109	2717	17046
110	2740	17011
111	2755	16928
112	2778	16892
113	2801	16858
114	2825	16827
115	2849	16801
116	2874	16778
117	2897	16744
118	2922	16721
119	2946	16695
120	2970	16667
121	2994	16643
122	3022	16633
123	3045	16604
124	3070	16578
125	3094	16552
126	3118	16527
127	3141	16492
128	3165	16466
129	3190	16441
130	3214	16414
131	3238	16388
132	3277	16436
133	3287	16337
134	3307	16291
135	3330	16259
136	3354	16234
137	3379	16209
138	3402	16181
139	3426	16153
140	3450	16127
141	3474	16101
142	3499	16077
143	3522	16047
144	3547	16023
145	3570	15992
146	3594	15965
147	3617	15935
148	3640	15907
149	3664	15878
150	3688	15853
151	3712	15826
152	3735	15797
153	3761	15778
154	3789	15770
155	3818	15764
156	3848	15761
157	3873	15738
158	3902	15731
159	3930	15722
160	3958	15709
161	3986	15701
162	4025	15729
163	4059	15744
164	4083	15715
165	4111	15703
166	4140	15693
167	4168	15683
168	4202	15692
169	4229	15672
170	4253	15646
171	4281	15632
172	4309	15617
173	4334	15592
174	4367	15597
175	4392	15573
176	4425	15576
177	4454	15564
178	4489	15574
179	4518	15562
180	4544	15542
181	4570	15518
182	4602	15518
183	4633	15511
184	4666	15514
185	4702	15523
186	4728	15500
187	4756	15482
188	4788	15478
189	4819	15471
190	4851	15468
191	4885	15470
192	4922	15481
193	4959	15490
194	4996	15500
195	5014	15452
196	5054	15470
197	5094	15488
198	5129	15491
199	5164	15492
200	5198	15493
201	5232	15489
202	5263	15478
203	5294	15469
204	5325	15457
205	5355	15442
206	5379	15410
207	5401	15374
208	5424	15339
209	5448	15306
210	5472	15275
211	5498	15250
212	5523	15221
213	5538	15165
214	5564	15141
215	5590	15116
216	5614	15084
217	5640	15058
218	5657	15008
219	5680	14976
220	5703	14943
221	5729	14916
222	5754	14889
223	5767	14830
224	5789	14794
225	5815	14770
226	5847	14760
227	5878	14748
228	5913	14744
229	5950	14746
230	5981	14734
231	6019	14737
232	6049	14722
233	6074	14693
234	6098	14662
235	6124	14635
236	6148	14605
237	6172	14575
238	6195	14543
239	6220	14513
240	6243	14481
241	6266	14448
242	6290	14417
243	6314	14388
244	6340	14362
245	6365	14334
